"","year","state","expenditure","total_violent_crimes"
"263","2014-15","Madhya Pradesh",3.45,"23593"
"264","2014-15","Maharashtra",2.24,"32574"
"265","2014-15","Orissa",3.24,NA
"266","2014-15","Punjab",2.15,"4938"
"267","2014-15","Rajasthan",3.15,"16439"
"268","2014-15","Tamil Nadu",2.32,"12692"
"269","2014-15","Uttar Pradesh",3.49,"41889"
"270","2014-15","West Bengal",2.95,"27798"
"271","2015-16","Andhra Pradesh",2.81,"6955"
"272","2015-16","Assam",4.7,"15155"
"273","2015-16","Bihar",5.15,"35754"
"274","2015-16","Gujarat",1.87,"8046"
"275","2015-16","Haryana",2.04,"10213"
"276","2015-16","Himachal Pradesh",3.88,"1250"
"277","2015-16","Jammu & Kashmir",5.64,NA
"278","2015-16","Jharkhand",3.22,"8493"
"279","2015-16","Karnataka",1.86,"17111"
"280","2015-16","Kerala",2.59,"11947"
"281","2015-16","Madhya Pradesh",3.3,"22170"
"282","2015-16","Maharashtra",2.19,"37290"
"283","2015-16","Orissa",3.52,NA
"284","2015-16","Punjab",2.25,"4938"
"285","2015-16","Rajasthan",3.12,"15636"
"286","2015-16","Tamil Nadu",2.23,"12121"
"287","2015-16","Uttar Pradesh",4.06,"40613"
"288","2015-16","West Bengal",2.7,"29461"
"289","2016-17","Andhra Pradesh",2.54,NA
"290","2016-17","Assam",4.97,"24165"
"291","2016-17","Bihar",4.79,"46621"
"292","2016-17","Gujarat",1.69,"11829"
"293","2016-17","Haryana",1.99,"14392"
"294","2016-17","Himachal Pradesh",4.17,NA
"295","2016-17","Jammu & Kashmir",5.05,NA
"296","2016-17","Jharkhand",3.48,"9300"
"297","2016-17","Karnataka",1.75,"19648"
"298","2016-17","Kerala",2.74,"13548"
"299","2016-17","Madhya Pradesh",3.38,NA
"300","2016-17","Maharashtra",2.07,"42468"
"301","2016-17","Orissa",3.09,NA
"302","2016-17","Punjab",2.12,"6909"
"303","2016-17","Rajasthan",3.24,"16223"
"304","2016-17","Tamil Nadu",2.07,NA
"305","2016-17","Uttar Pradesh",4.2,NA
"306","2016-17","West Bengal",2.73,NA
"307","2017-18","Andhra Pradesh",2.52,"8288"
"308","2017-18","Assam",4.9,"25875"
"309","2017-18","Bihar",5.12,"50700"
"310","2017-18","Gujarat",1.68,"10509"
"311","2017-18","Haryana",1.88,"13040"
"312","2017-18","Himachal Pradesh",4.3,"1566"
"313","2017-18","Jammu & Kashmir",5.72,NA
"314","2017-18","Jharkhand",3.01,"9961"
"315","2017-18","Karnataka",1.66,"18655"
"316","2017-18","Kerala",2.71,"13315"
"317","2017-18","Madhya Pradesh",3.35,"27953"
"318","2017-18","Maharashtra",2.01,"40010"
"319","2017-18","Orissa",3.34,NA
"320","2017-18","Punjab",1.96,"5538"
"321","2017-18","Rajasthan",3.25,"16328"
"322","2017-18","Tamil Nadu",2.02,"10358"
"323","2017-18","Uttar Pradesh",3.22,"64450"
"324","2017-18","West Bengal",2.51,"48609"
"325","2018-19","Andhra Pradesh",2.27,"8211"
"326","2018-19","Assam",6.23,"29417"
"327","2018-19","Bihar",6.79,"44407"
"328","2018-19","Gujarat",1.71,"11358"
"329","2018-19","Haryana",1.96,"14018"
"330","2018-19","Himachal Pradesh",4.79,"1861"
"331","2018-19","Jammu & Kashmir",8.55,NA
"332","2018-19","Jharkhand",3.64,"11617"
"333","2018-19","Karnataka",1.71,"17616"
"334","2018-19","Kerala",2.52,"13133"
"335","2018-19","Madhya Pradesh",3.54,"27106"
"336","2018-19","Maharashtra",NA,"45706"
"337","2018-19","Orissa",3.61,NA
"338","2018-19","Punjab",2.2,"6153"
"339","2018-19","Rajasthan",3.84,"18047"
"340","2018-19","Tamil Nadu",2.02,"11654"
"341","2018-19","Uttar Pradesh",3.45,"65155"
"342","2018-19","West Bengal",2.57,"44446"
